content,title,Cat
"In the latest news of surprise business acquisitions and mergers that make sense at first glance, Toho Animation, the self-proclaimed leader in Japanese entertainment, has announced its acquisition o… [+4051 chars]",Toho Animation Acquires Gkids and Aims to Bring More Japanese Media to the U.S.,Sale
"Israel's Prime Minister Benjamin Netanyahu and his advisers pictured during Wednesday's call with President Biden
US President Joe Biden and Israels Prime Minister Benjamin Netanyahu have held a muc… [+5195 chars]",The two forces at work on Biden-Netanyahu phone call,No Sale
"The most admirable thing about Venom: The Last Dance is that it tries. It really, really tries. It tries to be the goofy buddy comedy we remember from the previous two films. It tries to be the big-b… [+6842 chars]",Venom: The Last Dance Doesn’t Quite Stick the Landing,No Sale
"edie, the go-to media brand for sustainability in business, has acquired Springwise, the leading global media platform for innovations driving positive change.
The acquisition sees the two leading b… [+3133 chars]",edie acquires Springwise,Sale
"What do the Rothschilds, big wave surfing, and cows have in common? A Portuguese man by the name of Francisco Roque de Pinho, of course.
Francisco used to be a banker at Rothschild, the most famous … [+2614 chars]",Big wave surfer emerges from the barrel with $120M fund for regenerative agriculture,No Sale
"IBM announced on Tuesday it has acquired Prescinto, a Bangalore-based provider of asset performance management software for renewable energy.
Since its 2016 debut, Prescinto has won customers 14 cou… [+2325 chars]",IBM acquires Indian SaaS startup Prescinto to shine a light on renewable energy assets,Sale
"Private equity company Permira has purchased all available common stock for the website builder Squarespace, ending Squarespace’s publicly traded era. 
Squarespace has long been one of the go-to res… [+2393 chars]",Private Equity Firm Permira Acquires Squarespace for $7.2 Billion,Sale
"The renowned bookstore founded in Archer City by award-winning ""Lonesome Dove"" author Larry McMurtry has been closed for over two years, but Booked Up is getting a new life as a literary center.
Chi… [+3865 chars]",Larry McMurtry's iconic bookstore sold to nonprofit,No Sale
"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
C… [+4380 chars]","Carnival, Royal Caribbean have a huge perk you may not know about",No Sale
The Wordpress and open source communities have lots of thoughts on Matt Mullenwegs actions after his talk at WordCamp. Much of this commentary has overlooked what I think is a core concern at the hea… [+3491 chars],Private Equity Ruins Tech Companies,No Sale
